Parafia Najœwiêtszego Cia³a i Krwi Chrystusa; Mielec;49.7500, 21.8000; 7:00, 9:00, 18:00;;17:00 – 18:00; (tylko w sobotê);07:55;;Kroki Zbawienia, Duchowa Ekspedycja; Koœció³ silnie zaanga¿owany w prace z m³odzie¿¹ i osobami starszymi Bia³ogórska 19, 38-800 Wadowice Górne Adres Strony internetowej: modlitwazprzytulasem.pl
Parafia œw. Franciszka z Asy¿u; Tarnobrzeg;49.7833, 22.1667; 8:00, 10:00, 18:30;;14:00 – 15:00;;08:50;;Mi³oœæ Bo¿a w Akcji, Wspólnota Spokoju; Parafia z du¿¹ aktywnoœci¹ w zakresie pomocy ubogim i potrzebuj¹cym Leœna 10, 36-300 Kraków Adres Strony internetowej: wiara-i-poczucie-humoru.pl
Parafia œw. Józefa; Brzozów;49.5333, 21.7833; 6:30, 9:00, 18:00;;06:00 – 07:00 ;(tylko w 5. dzieñ miesi¹ca);09:35;;Anio³y Wspólnoty, Grupa „Nie Zatrzymuj siê”; Parafia w ma³ej miejscowoœci, z siln¹ duchowoœci¹ i licznymi inicjatywami spo³ecznymi Pi³sudskiego 25, 39-400 Baranów Sandomierski Adres Strony internetowej: pomodlijsie.pl
Parafia œw. Bart³omieja; Strzy¿ów;50.0292, 21.2833; 7:00, 9:00, 18:30;;16:00 – 17:00;;10:20;;Skrzyd³a Modlitwy, S³odki Oddech Wiary; Koœció³ z bogat¹ histori¹, organizuj¹cy wiele wydarzeñ kulturalnych i modlitewnych Koœciuszki 8, 37-600 Sieniawa Adres Strony internetowej: parafiabeka.pl
Parafia œw. Jana Chrzciciela; Jas³o;50.0833, 21.7667; 7:30, 10:00, 17:00;;08:00 – 09:00;;11:10;;Uœmiech Jezusa, Duchowi Przyjaciele; Parafia z siln¹ wspólnot¹ modlitewn¹ i zró¿nicowanymi grupami m³odzie¿owymi Jagielloñska 4, 38-500 Brzozów Adres Strony internetowej: myslijwparafii.pl
Parafia œw. Jakuba Aposto³a; Nisko;49.9500, 22.0300; 7:00, 9:00, 18:00;;11:00 – 12:00;;12:45;;Chwila Zatrzymania, Wiara na Co Dzieñ; Parafia o bogatych tradycjach pielgrzymkowych, organizuj¹ca coroczne pielgrzymki do miejsc œwiêtych Sienkiewicza 16, 39-400 Nisko Adres Strony internetowej: swietaprzystan.pl
Parafia Wniebowst¹pienia Pañskiego; Krosno;50.1000, 21.7167; 6:30, 9:30, 11:00, 18:00;;15:00 – 16:00;;13:55;;Mocni w Duchu Œwiêtym, Radosne Œpiewy; Parafia w mieœcie Krosno, znana z dzia³alnoœci m³odzie¿owej i organizacji wydarzeñ religijnych D³ugosza 23, 37-400 £añcut Adres Strony internetowej: nie-tylko-krzyz.pl
Parafia œw. Miko³aja; Dêbica;50.2500, 21.5500; 8:00, 10:00, 18:00;;07:00 – 08:00;;14:30;Jezus cie kocha;Serca P³on¹ce, Anielskie Chwile; Parafia z tradycj¹ organizowania festynów i spotkañ parafialnych Ksiêdza Chodkiewicza 6, 38-300 Zarszyn Adres Strony internetowej: modlitenasyf.pl
Parafia Zwiastowania Najœwiêtszej Maryi Panny; Kolbuszowa;49.8000, 22.3500; 7:00, 9:30, 17:00;;10:00 – 11:00;;15:00;;B³ogos³awieni w Wierze, Przyjaciele Pokoju; Koœció³ prowadz¹cy szerok¹ dzia³alnoœæ charytatywn¹ i edukacyjn¹ Tadeusza 2, 39-500 Kolbuszowa Adres Strony internetowej: pastoralnyparty.pl
Parafia Œwiêtej Rodziny; Tarnobrzeg;49.8333, 21.7333; 7:00, 10:00, 18:00;;13:00 – 14:00 ;(tylko w 4 dzieñ miesi¹ca);16:20;;Pielgrzymi Mi³oœci, B³êkitne Serce; Parafia bardzo aktywna w zakresie duszpasterstwa rodzinnego i pomocy dzieciom Górki 29, 38-600 Ustrzyki Dolne Adres Strony internetowej: parafia-ciszy.pl
Parafia œw. Paw³a Aposto³a; Jas³o;49.5667, 21.6167; 7:30, 9:00, 17:00;;19:00 – 20:00;;17:40;;Wspólnota Nadziei, P³omienie Mi³oœci; Parafia w centrum miasta, z siln¹ obecnoœci¹ wœród m³odzie¿y i organizowaniem wydarzeñ duszpasterskich Miko³aja 13, 39-800 Rzeszów Adres Strony internetowej: wielkiesmieszki.pl
Parafia Œw. Aposto³ów Piotra i Paw³a; Nisko;49.3667, 22.2833; 8:00, 10:00, 18:00;;21:00 – 22:00;;18:25;;Bezgrzeszni w Modlitwie, Moc Ró¿añca; Parafia w Nisku, znana z organizowania pielgrzymek oraz zaanga¿owania w ¿ycie lokalnej wspólnoty S³owiañska 22, 39-100 Le¿ajsk Adres Strony internetowej: swietyzjedzeniem.pl
Parafia œw. Katarzyny Aleksandryjskiej; Brzozów;50.0372, 22.0025; 7:00, 9:30, 18:30;;18:00 – 19:00;;19:50;;Wielki Œwit, Serce Bo¿ych Dzieci; Koœció³ z d³ug¹ histori¹, prowadz¹cy dzia³alnoœæ modlitewn¹ i charytatywn¹ Bieszczadzka 18, 38-500 Sanok Adres Strony internetowej: tutajnie-zgrzeszysz.pl
Parafia œw. Tomasza Aposto³a; Strzy¿ów;50.0369, 22.0106; 7:30, 10:00, 18:00;;09:00 – 10:00 ;(tylko w 2. czwartek miesi¹ca);20:10;;Modlitewna Têcza, Kr¹g Wiary; Parafia z tradycjami liturgicznymi, zaanga¿owana w duszpasterstwo m³odzie¿owe i pielgrzymki. Rynkowska 33, 37-200 Tomaszów Lubelski Adres Strony internetowej: parafianakaz.pl
