Parafia Świętego Krzyża; Przemyśl;49.6917, 21.7667; 7:00, 10:00, 17:00;;7:30, 12:30, 18:15;;06:00 - 07:00;;16:00 - 16:30;;16:10;;Pogodna Wspólnota, Wielka Siła Modlitwy; Parafia o bogatej historii i tradycjach związanych z Krzyżem Świętym, angażująca parafian w różnorodne formy modlitwy Pocztowa 12, 39-100 Ropczyce Adres Strony internetowej: za-duzo-grzechow.pl
Parafia Świętej Rodziny; Nowa Dęba;49.7500, 21.4667; 7:00, 9:00, 18:00;;8:15, 13:30*, 20:30;Pocieszenie, pok?, powr?.;19:00 - 20:00 *;(tylko w 2. wtorek miesiąca);17:00 - 17:30;;17:30*;W poniedzia?ek z dziwnym ksi?zem;Skrzydlate Modlitwy, Serce Pe?ne Mi?o?ci; Parafia rodzinna, oferuj?ca wsparcie dla rodzin i dzieci, prowadz?ca wiele inicjatyw wsp?notowych Mieszka I 8, 37-400 Nisko Adres Strony internetowej: swieta-chwilka.pl
Parafia Zes?ania Ducha Świętego; Rzeszów;50.3369, 21.6828; 7:30, 9:00, 11:30, 18:30;;6:45, 9:45, 16:00;;20:00 - 21:00 *;(tylko w 3. czwartek miesiąca);18:00 - 18:30;;18:05;;Wierni w Codzienno?ci, Si?a Pokoju; Parafia znana z organizowania wielkich wydarze? modlitewnych i duszpasterskich Wierzbowa 27, 39-500 Gorzyce Adres Strony internetowej: pan-pomaga.pl
Parafia św. Wojciecha; Sanok;49.5500, 22.2000; 6:30, 9:30, 18:00;;7:00, 12:45, 18:45;;22:00 - 23:00;;19:00 - 19:30;;19:15;;Otw?z Serce, Duch Święty w Dzia?aniu; Parafia z długą tradycją, szczeg?nie anga?uj?ca się w rozw? młodzieży i wsp?noty S?owackiego 5, 38-300 Sanok Adres Strony internetowej: parafialnysupport.pl
Parafia św. Michała Archanioła; Rzeszów-Wsch?;49.4200, 22.7250; 7:00, 9:00, 17:00;;8:00, 11:45, 19:00;;23:00 - 24:00;;20:00 - 20:30;;20:25*;Rozdajemy różańce;Boża Łaska, Wieczorne ?wiat?o; Kościół z siln? dzia?alno?ci? duszpastersk?, oferuj?cy r?e formy modlitwy Krakowska 21, 39-600 Stalowa Wola Adres Strony internetowej: boskawartosc.pl
Parafia św. Stanis?awa Biskupa; Kro?cienko;49.5000, 21.7500; 7:30, 9:30, 18:00;;6:30, 14:00, 20:00;;09:00 - 10:00;;6:30 - 7:00*;no to tak;06:40;;Apostolowie Rado?ci, Tęcza Modlitwy; Parafia znana z organizowania pielgrzymek i wielu dzia?a? edukacyjnych Sikorskiego 31, 37-300 Przeworsk Adres Strony internetowej: czasnarefleksje.pl
Parafia Najświętszego Cia?a i Krwi Chrystusa; Mielec;49.7500, 21.8000; 7:00, 9:00, 18:00;;7:15, 11:30, 17:45;;17:00 - 18:00*; (tylko w sobot?);7:30 - 8:00;;07:55;;Kroki Zbawienia, Duchowa Ekspedycja; Kościół silnie zaanga?owany w prace z młodzież? i osobami starszymi Bia?og?ska 19, 38-800 Wadowice G?ne Adres Strony internetowej: modlitwazprzytulasem.pl
Parafia św. Franciszka z Asy?u; Tarnobrzeg;49.7833, 22.1667; 8:00, 10:00, 18:30;;6:00, 10:45, 19:30;;14:00 - 15:00;;8:30 - 9:00;;08:50;;Mi?o?? Bo?a w Akcji, Wsp?nota Spokoju; Parafia z du?? aktywno?ci? w zakresie pomocy ubogim i potrzebuj?cym Le?na 10, 36-300 Krak? Adres Strony internetowej: wiara-i-poczucie-humoru.pl
Parafia św. J?efa; Brzoz?;49.5333, 21.7833; 6:30, 9:00, 18:00;;7:45, 13:15, 18:00;;06:00 - 07:00 *;(tylko w 5. dzień miesiąca);9:30 - 10:00*;bywa i tak;09:35;;Anio?y Wsp?noty, Grupa ?Nie Zatrzymuj się; Parafia w ma?ej miejscowo?ci, z siln? duchowo?ci? i licznymi inicjatywami spo?ecznymi Pi?sudskiego 25, 39-400 Baran? Sandomierski Adres Strony internetowej: pomodlijsie.pl
Parafia św. Bart?omieja; Strzyżów;50.0292, 21.2833; 7:00, 9:00, 18:30;;8:30, 14:15, 20:00;;16:00 - 17:00;;10:30 - 11:00;;10:20;;Skrzyd?a Modlitwy, S?odki Oddech Wiary; Kościół z bogatą historią, organizuj?cy wiele wydarze? kulturalnych i modlitewnych Ko?ciuszki 8, 37-600 Sieniawa Adres Strony internetowej: parafiabeka.pl
Parafia św. Jana Chrzciciela; Jasło;50.0833, 21.7667; 7:30, 10:00, 17:00;;6:30, 9:00, 15:30;;08:00 - 09:00;;11:30 - 12:00;;11:10;;U?miech Jezusa, Duchowi Przyjaciele; Parafia z siln? wsp?not? modlitewn? i zr?icowanymi grupami młodzieżowymi Jagiello?ka 4, 38-500 Brzoz? Adres Strony internetowej: myslijwparafii.pl
Parafia św. Jakuba Apostoła; Nisko;49.9500, 22.0300; 7:00, 9:00, 18:00;;7:15, 12:00, 17:00;;11:00 - 12:00;;12:30 - 13:00;eo;12:45;;Chwila Zatrzymania, Wiara na Co Dzień; Parafia o bogatych tradycjach pielgrzymkowych, organizuj?ca coroczne pielgrzymki do miejsc świętych Sienkiewicza 16, 39-400 Nisko Adres Strony internetowej: swietaprzystan.pl
Parafia Wniebowst?pienia Pa?kiego; Krosno;50.1000, 21.7167; 6:30, 9:30, 11:00, 18:00;;8:00*, 13:00, 18:15;Pro?ba o prawd?, pok?, prosperowanie.;15:00 - 16:00;;13:30 - 14:00;;13:55;;Mocni w Duchu Świętym, Radosne ?piewy; Parafia w mie?cie Krosno, znana z dzia?alno?ci młodzieżowej i organizacji wydarze? religijnych D?ugosza 23, 37-400 ?a?ut Adres Strony internetowej: nie-tylko-krzyz.pl
Parafia św. Mikołaja; D?ica;50.2500, 21.5500; 8:00, 10:00, 18:00;;6:30, 10:00, 20:30;;07:00 - 08:00;;14:30 - 15:00;;14:30*;Jezus cie kocha;Serca P?on?ce, Anielskie Chwile; Parafia z tradycją organizowania festyn? i spotka? parafialnych Księdza Chodkiewicza 6, 38-300 Zarszyn Adres Strony internetowej: modlitenasyf.pl
Parafia Zwiastowania Najświęszej Maryi Panny; Kolbuszowa;49.8000, 22.3500; 7:00, 9:30, 17:00;;9:00, 14:30, 19:00;;10:00 - 11:00;;15:30 - 16:00;;15:00;;B?ogos?awieni w Wierze, Przyjaciele Pokoju; Kościół prowadz?cy szerok? dzia?alno?? charytatywn? i edukacyjn? Tadeusza 2, 39-500 Kolbuszowa Adres Strony internetowej: pastoralnyparty.pl
Parafia Świętej Rodziny; Tarnobrzeg;49.8333, 21.7333; 7:00, 10:00, 18:00;;7:00, 11:15, 17:30;;13:00 - 14:00 *;(tylko w 4 dzień miesiąca);16:30 - 17:00*;spowiedź;16:20;;Pielgrzymi Mi?o?ci, B??itne Serce; Parafia bardzo aktywna w zakresie duszpasterstwa rodzinnego i pomocy dzieciom G?ki 29, 38-600 Ustrzyki Dolne Adres Strony internetowej: parafia-ciszy.pl
Parafia św. Pawła Apostoła; Jasło;49.5667, 21.6167; 7:30, 9:00, 17:00;;8:45, 13:30, 19:15;;19:00 - 20:00;;17:30 - 18:00;;17:40;;Wsp?nota Nadziei, P?omienie Mi?o?ci; Parafia w centrum miasta, z siln? obecno?ci? w?r? młodzieży i organizowaniem wydarze? duszpasterskich Mikołaja 13, 39-800 Rzeszów Adres Strony internetowej: wielkiesmieszki.pl
Parafia św. Apostołów Piotra i Pawła; Nisko;49.3667, 22.2833; 8:00, 10:00, 18:00;;7:30, 12:00, 18:30;;21:00 - 22:00;;18:30 - 19:00;;18:25;;Bezgrzeszni w Modlitwie, Moc R??a; Parafia w Nisku, znana z organizowania pielgrzymek oraz zaanga?owania w ?ycie lokalnej wsp?noty S?owia?ka 22, 39-100 Le?ajsk Adres Strony internetowej: swietyzjedzeniem.pl
Parafia św. Katarzyny Aleksandryjskiej; Brzozów;50.0372, 22.0025; 7:00, 9:30, 18:30;;6:45, 11:00, 17:15;;18:00 - 19:00;;19:30 - 20:00;;19:50;;Wielki ?wit, Serce Bo?ych Dzieci; Kościół z długą historią, prowadz?cy dzia?alno?? modlitewn? i charytatywn? Bieszczadzka 18, 38-500 Sanok Adres Strony internetowej: tutajnie-zgrzeszysz.pl
Parafia św. Tomasza Apostoła; Strzyżów;50.0369, 22.0106; 7:30, 10:00, 18:00;;9:00, 14:00, 19:45;;09:00 - 10:00 *;(tylko w 2. czwartek miesiąca);20:30 - 21:00;;20:10;;Modlitewna T?za, Kr?g Wiary; Parafia z tradycjami liturgicznymi, zaanga?owana w duszpasterstwo młodzieżowe i pielgrzymki. Rynkowska 33, 37-200 Tomaszów Lubelski Adres Strony internetowej: parafianakaz.pl
